"","pes21_occ_text"
"2953","Éducateur"
"2954","-99"
"2955",""
"2956","-99"
"2957",""
"2958","Retired"
"2959",""
"2960",""
"2961","owner"
"2962","sans emploi"
"2963","student"
"2964",""
"2965","-99"
"2966","-99"
"2967","-99"
"2968","-99"
"2969","property Management"
"2970","Consultant"
"2971","legal assistant"
"2972",""
"2973","producteur"
"2974",""
"2975","Vp financial services"
"2976","Malade"
"2977","Analyst"
"2978","photogrammetrist"
"2979","Full time worker"
"2980","Bureau"
"2981",""
"2982",""
"2983",""
"2984","banque"
"2985","operations executive"
"2986","Superviseur usine"
"2987","Technicien téléphone"
"2988","Health care"
"2989","LABOURER"
"2990","sales"
"2991","sales"
"2992","sales"
"2993",""
"2994",""
"2995","Military"
"2996","Public servant"
"2997",""
"2998","retired mortgage broker"
"2999","Educator"
"3000","Technical support"
"3001","student"
"3002","Economist"
"3003","agent adminittative"
"3004","retired health care worker"
"3005","unemployed"
"3006",""
"3007",""
"3008","Administrative"
"3009","Physiotherapist"
"3010","sales"
"3011","Traductrice"
"3012","DIRECTEUR"
"3013","Marketing"
"3014","F&B Server"
"3015","-99"
"3016","-99"
"3017","Front desk for an Orthodontist"
"3018","Conseiller TI"
"3019","Law"
"3020","Réceptionniste"
"3021","-99"
"3022",""
"3023","Travail à temps plein"
"3024","-99"
"3025",""
"3026","Occupational therapist"
"3027","Dietitian"
"3028","commis"
"3029",""
"3030",""
"3031","sales manager"
"3032","retail"
"3033","controleur"
"3034",""
"3035","Butcher and psw"
"3036",""
"3037",""
"3038",""
"3039",""
"3040","-99"
"3041","Retired"
"3042","Customer service"
"3043","ADMINISTRATEUR"
"3044","-99"
"3045","Policier"
"3046","Entretien menagé milieu hospitalier"
"3047","Unemployed"
"3048","Gestionnaire"
"3049",""
"3050","Chief Information Officer"
"3051","sales manager"
"3052","General Claims Agent"
"3053","sales person"
"3054",""
"3055","sales"
"3056","Retired"
"3057","Home remodeling"
"3058","Grants administrator"
"3059","OPERATIONS ANALYIST"
"3060",""
"3061","Clerical"
"3062",""
"3063","Incapacité à travailler"
"3064",""
"3065","retired"
"3066","Customer service"
"3067","Emploi temps plein"
"3068","RPN"
"3069","-99"
"3070","Directrice"
"3071",""
"3072","Analyst"
"3073",""
"3074","Elementary Teacher"
"3075","Homemaker"
"3076","RN"
"3077",""
"3078","child and youth worker"
"3079","Moa"
"3080",""
"3081","Directeur adjoint"
"3082","coordonnatrice amelioration continue"
"3083","Baker"
"3084","Pet Sitter"
"3085","Elementary school teacher"
"3086",""
"3087",""
"3088","IT Specialist"
"3089","Manufacturing"
"3090",""
"3091",""
"3092","Enseignement"
"3093","Analyst"
"3094","Mécanicien de machines fixes, classe 2, production d'énergie"
"3095","Engineering in the energy sector"
"3096",""
"3097","Janitor"
"3098",""
"3099",""
"3100","healthcare"
"3101",""
"3102","Home Builder"
"3103","Truck driver"
"3104","Analyst"
"3105","educator"
"3106","Supervisor"
"3107","-99"
"3108","Secrétaire"
"3109",""
"3110",""
"3111","Professional security guard instructor"
"3112","Project Manager"
"3113",""
"3114",""
"3115","Retail"
"3116","potter"
"3117","Psychologue"
"3118",""
"3119","Software Quality Assurance Testing"
"3120","Physiotherapist"
"3121","Real Estate agent"
"3122",""
"3123",""
"3124","Director"
"3125","stay at home mom"
"3126","Education and Training Advisor"
"3127","Administrative assistant"
"3128","Payroll & benefits associate"
"3129","Physician"
"3130","Fonctionnaire fédéral"
"3131","Heavy equipment operator"
"3132","Conseiller en services financiers"
"3133","analyste en actuariat"
"3134",""
"3135","retirement"
"3136","Railway man"
"3137","Gsc"
"3138","civil servant"
"3139","-99"
"3140",""
"3141","government"
"3142","student"
"3143","Transcriptionist"
"3144","Nurse"
"3145",""
"3146","manager"
"3147","Inhalothérapeute temps plein"
"3148","Travailleur autonome en TI"
"3149","Health care professional"
"3150",""
"3151","Mere a la maison"
"3152","Sales rep"
"3153",""
"3154","Plant Manager"
"3155","-99"
"3156",""
"3157","Production manager"
"3158",""
"3159","Clerk"
"3160","Clerical"
"3161","Software Engineer"
"3162","Teacher"
"3163","business"
"3164",""
"3165","Supervisor"
"3166",""
"3167",""
"3168",""
"3169","technician"
"3170","travail"
"3171","Environmental Peace Officer"
"3172",""
"3173",""
"3174","University lecturer"
"3175","gerant de production"
"3176","Commis"
"3177","teacher"
"3178",""
"3179","Teacher"
"3180",""
"3181","equipment operator"
"3182","chauffeur de camion"
"3183","parent educator"
"3184","counsellor"
"3185","telecom"
"3186","teacher"
"3187","Stay at home parent"
"3188","EMPLOI TEMPS PLEIN"
"3189","Enseignant"
"3190","retail store owner"
"3191","-99"
"3192","Travailleur"
"3193",""
"3194",""
"3195","Enseignant"
"3196","-99"
"3197",""
"3198",""
"3199",""
"3200",""
"3201","Receptionist"
"3202",""
"3203",""
"3204","Police officer"
"3205","sales representative"
"3206","Étudiant"
"3207","-99"
"3208","Office"
"3209","SALESMAN"
"3210","-99"
"3211","Lawyer"
"3212","femme au foyer"
"3213",""
"3214","Analyste politique"
"3215",""
"3216",""
"3217",""
"3218","Police"
"3219","Journalist"
"3220","Enseignant"
"3221","Marriage Commissioner"
"3222",""
"3223","Registered Nurse"
"3224","-99"
"3225",""
"3226",""
"3227","-99"
"3228","Biologist"
"3229","Finance officer"
"3230","VP at consulting firm"
"3231",""
"3232","Professional"
"3233","-99"
"3234","Stay at home mom"
"3235","Analyste"
"3236",""
"3237",""
"3238","Administration"
"3239",""
"3240",""
"3241",""
"3242","Enseignant"
"3243",""
"3244","Customer Service"
"3245","Real estate"
"3246",""
"3247","Carpenter"
"3248","steelworker"
"3249",""
"3250",""
"3251","Consulting"
"3252","retired"
"3253","-99"
"3254","marin"
"3255","Retail"
"3256","-99"
"3257","insurance"
"3258","-99"
"3259","preschool teacher"
"3260","engineering"
"3261","Military"
"3262","Self employed"
"3263","-99"
"3264","Bank employe"
"3265","Clergy"
"3266","Traductrice"
"3267","office worker"
"3268",""
"3269",""
"3270","-99"
"3271","Debardeur au port de Montréal"
"3272","Fonctionnaire"
"3273",""
"3274","retired"
"3275","retail"
"3276","agent"
"3277","-99"
"3278",""
"3279",""
"3280","developer"
"3281",""
"3282",""
"3283","self employed"
"3284","Hotel customer care"
"3285","journalier"
"3286","accountant"
"3287","Nurse"
"3288","policy"
"3289","-99"
"3290",""
"3291","steelworker"
"3292","Customer Service retail"
"3293","manager"
"3294","library worker"
"3295","Teacher"
"3296","working"
"3297","Worker"
"3298","Paramédic"
"3299","Payroll Manager"
"3300","Hr"
"3301","Scientist"
"3302","police"
"3303","Fire Fighter"
"3304","President"
"3305","-99"
"3306","retired"
"3307","Financial services technology"
"3308","Enseignant"
"3309","program coordinator"
"3310",""
"3311","Electronic Technician"
"3312","Commis des postes"
"3313","Gestionnaire"
"3314",""
"3315","-99"
"3316","ventes"
"3317","Responsable d’équipe"
"3318","Analysts"
"3319","Taxi driver"
"3320","Travailler"
"3321","Unemployed"
"3322","Maladie chronique me travsille pas"
"3323","General Manager"
"3324","supervisor"
"3325",""
"3326","administrative assistant"
"3327","-99"
"3328",""
"3329",""
"3330",""
"3331","Signaleur routier"
"3332",""
"3333","finance manager"
"3334","childcare provider"
"3335","RCAF officer"
"3336","Rédacteur Web"
"3337","technologue électronique"
"3338","Voiturier"
"3339",""
"3340","mental health counsellor"
"3341","Travailleur"
"3342",""
"3343",""
"3344","-99"
"3345","product manager"
"3346","Web Developer"
"3347","-99"
"3348","Mediator"
"3349","Chauffeur"
"3350","Logistics"
"3351","-99"
"3352",""
"3353","MAINTENANCE"
"3354","nursing assistant"
"3355","factory supervisor"
"3356","Receptionist"
"3357","Banking"
"3358","comptable"
"3359","Engineer"
"3360","agent logistique"
"3361","Product management"
"3362","Food service worker"
"3363",""
"3364","teacher"
"3365","gestionnaire"
"3366","conseiller financier"
"3367","Chemist"
"3368","-99"
"3369","Engineer"
"3370",""
"3371","-99"
"3372",""
"3373","Self employed"
"3374",""
"3375",""
"3376",""
"3377",""
"3378",""
"3379","Former VP of private school"
"3380","Urban Planner"
"3381","custodian"
"3382",""
"3383","Vente"
"3384","-99"
"3385","Project Manager"
"3386","Adjointe de direction"
"3387",""
"3388",""
"3389",""
"3390","Banker"
"3391",""
"3392",""
"3393","Scientist"
"3394","technicienne en éducation spécialisée"
"3395","Physician Assistant"
"3396","social worker"
"3397","-99"
"3398","public servant"
"3399","Educator"
"3400","Systems Analyst"
"3401","secrétaire"
"3402","Stats Canada"
"3403","Substitute Teacher"
"3404","Unemployed due to PANDEMIC/part time student"
"3405","Cleaner"
"3406",""
"3407","Store Manager"
"3408","Comptable agréé"
"3409","Accountant"
"3410","Intake officer"
"3411","Leasing"
"3412","computer stuff"
"3413","carpenter"
"3414","accountant"
"3415",""
"3416","Project manager"
"3417","radio"
"3418","Préposé à l'entretien ménager"
"3419","Govt of Canada"
"3420","office manager"
"3421",""
"3422",""
"3423","Songwriter"
"3424",""
"3425",""
"3426","-99"
"3427","Bartender"
"3428","manager"
"3429","Homemaker"
"3430",""
"3431",""
"3432","personal service"
"3433","educator"
"3434","engineer"
"3435","retail clerical"
"3436","Directrice"
"3437",""
"3438","retired"
"3439","Support worker"
"3440","Federal Government Employee"
"3441","healthcare"
"3442","Retired"
"3443",""
"3444",""
"3445",""
"3446",""
"3447","sales"
"3448",""
"3449","-99"
"3450","sales/retired"
"3451",""
"3452","Travail temps plein"
"3453","Warehouse worker"
"3454","Postal Supervisor"
"3455","Responsable"
"3456","homemaker"
"3457","Professional Purchaser"
"3458","Accountant"
"3459",""
"3460","directeur pieces dealer"
"3461",""
"3462","Of work due to a mva"
"3463",""
"3464","ARCHITECT"
"3465",""
"3466",""
"3467","technology analyst"
"3468","Teacher"
"3469","-99"
"3470","-99"
"3471","-99"
"3472","-99"
"3473",""
"3474","-99"
"3475","Programmer Analyst"
"3476","Clerical"
"3477","Public servant"
"3478","Manager"
"3479",""
"3480","Copywriter"
"3481","Customer service"
"3482","-99"
"3483","Consultant"
"3484","Recherche scientifique"
"3485","lawyer"
"3486","Fonctionnaire"
"3487",""
"3488","Occupational Therapist"
"3489",""
"3490",""
"3491","orthophoniste"
"3492","-99"
"3493","Administrative"
"3494","teacher"
"3495","Travailleuse à temps plein dans une imprimerie"
"3496",""
"3497",""
"3498","-99"
"3499","Physiotherapist"
"3500","Gerante de boutique"
"3501","Programmeur"
"3502","-99"
"3503",""
"3504","Heavy Equipment op. & Singer/musician"
"3505","Conseiller relation d’affaires"
"3506",""
"3507","caregiver to a Dravet's Syndrome child"
"3508","Retired"
"3509","Manager"
"3510",""
"3511","retraite"
"3512","Program Manager"
"3513","Ingénieur civil"
"3514",""
"3515","Gerante"
"3516",""
"3517","Électromécanique"
"3518","Consultant"
"3519",""
"3520","Unemployed"
"3521","HR Director"
"3522","-99"
"3523","Regional Litigation/Freedom of Information Protection and Privacy Coordinator"
"3524",""
"3525","-99"
"3526","Accountant"
"3527","Administration"
"3528","healthcare"
"3529","Business analyst"
"3530","Opérateur full-time"
"3531","Disability"
"3532","-99"
"3533","Customer service"
"3534","retail worker"
"3535",""
"3536","Informaticien"
"3537",""
"3538","Human Resources business partner"
"3539","Mortgage specialist"
"3540","Doesnt matter"
"3541","Comptabilité"
"3542","Communications"
"3543","Production worker"
"3544","Copy editor"
"3545",""
"3546","Business Owner"
"3547","Real Estate Broker"
"3548","GOVERNMENT DISABILITY PENSION"
"3549","illustratrice"
"3550","self-employed"
"3551","clerk"
"3552","Landfill"
"3553","self employed"
"3554","-99"
"3555",""
"3556",""
"3557","business owner"
"3558","E-commerce"
"3559","Project Manager"
"3560","Fonctionnaire"
"3561","social worker"
"3562",""
"3563",""
"3564",""
"3565","Enseignante"
"3566","Property management"
"3567",""
"3568",""
"3569","-99"
"3570","administrative assistant"
"3571","Project Management"
"3572","Bookkeeper"
"3573","self employed"
"3574","adjointe administrative"
"3575","Customer service"
"3576","clergy"
"3577","Truck Driver"
"3578","prgrammer"
"3579",""
"3580",""
"3581","Service à la paie"
"3582","Coordinator"
"3583","Manager"
"3584","-99"
"3585","Military"
"3586","retired  lawn maintence"
"3587","Machinist"
"3588","trouver un emplois"
"3589","Manager"
"3590",""
"3591","Information Technology"
"3592","Commercial Photographer"
"3593","manager"
"3594","Collection agent"
"3595","Employed in IT"
"3596","directrice de comptabilité"
"3597","Ingénieur"
"3598","Trader"
"3599","Comptable"
"3600","Travel"
"3601","bank employee"
"3602","retired"
"3603",""
"3604",""
"3605",""
"3606",""
"3607","Business Analyst"
"3608","Administration"
"3609","-99"
"3610","Housewife"
"3611","warehouse"
"3612",""
"3613","Office clerk"
"3614","Accountant"
"3615","-99"
"3616",""
"3617","Housekeeping"
"3618","Office Manager"
"3619","-99"
"3620","it consultant"
"3621",""
"3622",""
"3623","homemaker"
"3624","-99"
"3625","-99"
"3626","Civil servant"
"3627","Ret. Business owner"
"3628",""
"3629","-99"
"3630",""
"3631","administrative"
"3632",""
"3633","-99"
"3634",""
"3635","Process server"
"3636",""
"3637","Préposé à la paie"
"3638",""
"3639","-99"
"3640",""
"3641","Sales"
"3642","Accountant"
"3643",""
"3644","Student"
"3645",""
"3646","Cashier"
"3647","-99"
"3648","Care coordinator"
"3649","data entry"
"3650",""
"3651","Banker"
"3652","-99"
"3653","Conseillère, Communication"
"3654","consultant"
"3655",""
"3656","Clerk"
"3657","-99"
"3658","Lithographer"
"3659","fonction publique"
"3660","Homemaker"
"3661",""
"3662","School Principal/ Supervisor of Education students at a jnjversity"
"3663","social worker"
"3664",""
"3665","tutor"
"3666","retired"
"3667","Étudiante"
"3668","Auto worker"
"3669","-99"
"3670","Gestionnaire"
"3671","Wedding Planner"
"3672","disabled, unable to work, former x-ray tech"
"3673",""
"3674","Reliability engineer"
"3675","Graphiste"
"3676",""
"3677",""
"3678",""
"3679","Specialiste clinique"
"3680","Airline pilot"
"3681","Recherchiste"
"3682",""
"3683","Registered Dental Hygienist"
"3684","Agente services financiers"
"3685",""
"3686","Courtier d’assurance"
"3687","optical"
"3688","Accountant"
"3689","-99"
"3690","Office Manager"
"3691","Sales"
"3692",""
"3693","cariste"
"3694",""
"3695","-99"
"3696","-99"
"3697","Stay at home parent"
"3698","Étudiant"
"3699","Student/ Worker"
"3700","artis/author"
"3701","Project Manager"
"3702","chef"
"3703",""
"3704","Fonctionnaire"
"3705","Healthcare Management"
"3706","Financial Planning"
"3707","project coordinator construction"
"3708","Sales associate"
"3709",""
"3710",""
"3711","CEO"
"3712","Occupational therapist"
"3713","Temp plein"
"3714",""
"3715",""
"3716",""
"3717","CONTREMAITRE"
"3718","Administrative assistant/Municipal Gov't."
"3719","IT Support"
"3720","Inspectrice"
"3721",""
"3722","Dietitian"
"3723","millitary"
"3724","Manager, Data Governance"
"3725","HD mechanic"
"3726","DESIGNER"
"3727","Financial Engineer"
"3728",""
"3729","Unemployed"
"3730","Vice President Learning"
"3731","Business Owner"
"3732","-99"
"3733",""
"3734",""
"3735","news stringer"
"3736","-99"
"3737","Avocat"
"3738","Medical Laboratory technologist"
"3739",""
"3740","registered nurse"
"3741","Social work"
"3742","warehouse manager"
"3743","-99"
"3744","Retired"
"3745","retail"
"3746","Gig Worker"
"3747","IT consultant"
"3748","Customer service"
"3749","Gestionnaire"
"3750","-99"
"3751","manager"
"3752","Museum Curator"
"3753","travaille à temps partiel"
"3754",""
"3755","Healthcare"
"3756",""
"3757","Insurance underwriter"
"3758","-99"
"3759",""
"3760",""
"3761","Home Daycare Owner"
"3762","Education assistant"
"3763",""
"3764","-99"
"3765","Registered early childhood education"
"3766","Engineering technician"
"3767","Administration générale de PME"
"3768","Technicienne comptable"
"3769",""
"3770","policier"
"3771","Auto parts"
"3772","secretary"
"3773","Accountant"
"3774","professeur"
"3775","-99"
"3776","Administrator"
"3777","Étudiante"
"3778","assitance comptable"
"3779","-99"
"3780",""
"3781","Journalier"
"3782","Homemaker"
"3783",""
"3784","programmeur analyste"
"3785",""
"3786","Project Management"
"3787","-99"
"3788",""
"3789","Construction"
"3790","Administration"
"3791","unemployed"
"3792","RN"
"3793","Program Consultant"
"3794","Social worker"
"3795",""
"3796",""
"3797","Teacher"
"3798","Professionnelle de recherche"
"3799",""
"3800","assistant"
"3801","Financial advisor"
"3802",""
"3803","Labour relations"
"3804","Power Engineer"
"3805","Manager"
"3806","Millwright"
"3807","Student"
"3808",""
"3809",""
"3810",""
"3811","Government worker"
"3812","Bureaucrat"
"3813","-99"
"3814","Prof"
"3815","-99"
"3816",""
"3817","accountant"
"3818",""
"3819","-99"
"3820",""
"3821"," construction"
"3822",""
"3823","occupational therapist"
"3824","Disabled"
"3825","IT"
"3826","Business man"
"3827","senior management"
"3828","Retail worker"
"3829","teacher"
"3830",""
"3831","NURSE/SOCAIL WORKER"
"3832","Financial Controller"
"3833","-99"
"3834","Payroll Manager"
"3835","Counsellor/therapist"
"3836","Traducteur"
"3837","Hostess"
"3838",""
"3839","Homemaker"
"3840","administration"
"3841","student"
"3842",""
"3843","Student"
"3844","engineer"
"3845","Camionneur"
"3846","Data Analyst"
"3847","supervisor"
"3848",""
"3849","RETIRED"
"3850",""
"3851","distillery"
"3852","Infirmier clinicien"
"3853","Radigrapher"
"3854","manager"
"3855","-99"
"3856","-99"
"3857",""
"3858","CPA CGA"
"3859","fonctionnaire MDN"
"3860","reception"
"3861","Consultant"
"3862",""
"3863","pharmacist"
"3864","manual worker"
"3865","Infirmière auxiliqire"
"3866",""
"3867","housewife"
"3868","Professionnelle"
"3869","enseignante"
"3870","Homemaker"
"3871","Programmeur Informatique"
"3872",""
"3873","Clerk"
"3874",""
"3875","Corporate Real Estate Leader"
"3876","Setter/operator metal forging"
"3877","Plant Manager"
"3878",""
"3879",""
"3880","Sales Associate"
"3881",""
"3882",""
"3883","Électromécanicien"
"3884","Health Professional"
"3885","Retired"
"3886","science tech"
"3887","Accountant"
"3888",""
"3889","student"
"3890","Gestionnaire laboratoire"
"3891",""
"3892",""
"3893","Casino Employee"
"3894","machine operator"
"3895","-99"
"3896","Office administrator"
"3897","teacher"
"3898",""
"3899","parttime cleaner"
"3900",""
"3901","-99"
"3902","car sales"
"3903","-99"
"3904","Gestionnaire"
"3905","Retail sales/cashier"
"3906","Graphiste"
"3907","Disabled"
"3908","Self employed"
"3909","-99"
"3910","agent administrative"
"3911","professional engineer"
"3912","Carpenter"
"3913","PSW"
"3914","-99"
"3915",""
"3916","service industry"
"3917",""
"3918",""
"3919",""
"3920","office work"
"3921","service advisor"
"3922","travailleur temps plein"
"3923","-99"
"3924","gestionnaire"
"3925","-99"
"3926","Professeur"
"3927","Education"
"3928",""
"3929","Salesman"
"3930","-99"
"3931","-99"
"3932",""
"3933","Housekeeper - hotel"
"3934","hR clerk"
"3935","contremaître"
"3936",""
"3937",""
"3938","Disability"
"3939",""
"3940",""
"3941",""
"3942","-99"
"3943","IT consultant"
"3944","-99"
"3945","Tech de labo med"
"3946",""
"3947","-99"
"3948",""
"3949","Human Resources Specialist"
"3950","guard"
"3951",""
"3952","Company President"
"3953","Fonctionnaire"
"3954","management"
"3955","Aerospace Engineering"
"3956","risk adviser"
"3957","speech pathologist"
"3958","Service social"
"3959","Courtier immobilier"
"3960","Labour"
"3961","Medical secretary"
"3962","Funeral director"
"3963","-99"
"3964","Student"
"3965","Writer"
"3966",""
"3967",""
"3968",""
"3969","systems analyst"
"3970","Federal Senior Manager at the House of Commons"
"3971",""
"3972","Counsellor"
"3973",""
"3974","Employé"
"3975","Professionel"
"3976","Ingenieur"
"3977",""
"3978","sales"
"3979","Sales"
"3980","Technicien métallurgie"
"3981","retired"
"3982","-99"
"3983","Accountant"
"3984",""
"3985","professional"
"3986",""
"3987","Aero engine technician and residential appraiser"
"3988","Accoutant"
"3989",""
"3990","-99"
"3991","IT Consultant"
"3992",""
"3993","Consultant"
"3994",""
"3995","Directeur des opérations de détail"
"3996","Executive director"
"3997","Caregiver"
"3998","Nurse"
"3999",""
"4000","OHS Consultant"
"4001","conductrice autobus régional"
"4002","Financial Analysis"
"4003","Early childhood exucTion"
"4004","Office clerk"
"4005","-99"
"4006","Retired  accountant"
"4007",""
"4008","Translator and Interpreter"
"4009","Adjointe administrative"
"4010",""
"4011",""
"4012","Infirmière clinicienne"
"4013","TDSB Lunch Room Supervisor"
"4014","security"
"4015","teacher"
"4016","Pharmacist"
"4017","Executive"
"4018","Administration"
"4019","Professeure"
"4020","Accountant"
"4021",""
"4022","chaufeur"
"4023",""
"4024","Program Admin"
"4025",""
"4026",""
"4027",""
"4028","Financial Analyst"
"4029","Self-employed odd jobber"
"4030",""
"4031","enseignante au cégep"
"4032","licensed child daycare"
"4033",""
"4034","Packager"
"4035","ADMIN ASSISTANT"
"4036","Self employed"
"4037","Tradesman"
"4038",""
"4039",""
"4040","-99"
"4041","small business owner"
"4042","-99"
"4043","Firefighter"
"4044","-99"
"4045",""
"4046","Self employed customs broker"
"4047",""
"4048","-99"
"4049","Accountant"
"4050",""
"4051","-99"
"4052","-99"
"4053","carrossier"
"4054","equipment opertator"
"4055","Travailleur autonome dans le domaine des médias sociaux et de la promotion culturelle"
"4056","Chauffeur poids lourd"
"4057","Teacher"
"4058","it"
"4059","-99"
"4060","Informaticien"
"4061","Scientist"
"4062","Autonome"
"4063","Federal Government Worker"
"4064","Nurse"
"4065",""
"4066","Operations manager"
"4067","Fulll time Worker"
"4068","Teacher"
"4069","Consultant"
"4070",""
"4071","Travailleur à temps plein"
"4072","Part time worker"
"4073","Réceptionniste"
"4074","Paralegal"
"4075","Xray tech"
"4076","Transportation"
"4077","-99"
"4078","retail"
"4079","Tes"
"4080","Social worker"
"4081",""
"4082","propriétaire d'une petite entreprise"
"4083","livreur"
"4084",""
"4085","library clerk"
"4086","-99"
"4087","bank officer"
"4088","Gestionnaire bénévole"
"4089",""
"4090","-99"
"4091","Directeur des achats"
"4092",""
"4093",""
"4094",""
"4095","-99"
"4096","Public Servant"
"4097",""
"4098","-99"
"4099","économiste"
"4100","Public servant"
"4101",""
"4102","technicien en loisirs"
"4103","nothing"
"4104",""
"4105","Manager"
"4106","Dental Hygiene"
"4107",""
"4108","informaticien"
"4109","Directeur Général Mise en marché"
"4110",""
"4111","Business Consiltant"
"4112","entrepreneur"
"4113","Management"
"4114","Accounting"
"4115","Administration"
"4116","police officer"
"4117","Programmeur robotique"
"4118","-99"
"4119","Store Manager"
"4120","Financial Advisor"
"4121","education"
"4122","IT Manager"
"4123","Homemaker, hotel attendant"
"4124","Formerly credit manager"
"4125",""
"4126","Superintendent"
"4127","Student"
"4128",""
"4129","Translator"
"4130","Étudiante"
"4131",""
"4132",""
"4133","Civil Servant"
"4134","Teacher"
"4135","Étudiante"
"4136","Enseignant"
"4137","Office worker"
"4138",""
"4139","Freelancer"
"4140","Intervenante"
"4141","-99"
"4142","bookkeper"
"4143","Coordonnatrice marketing en congé de maternité"
"4144","Télétravail"
"4145",""
"4146",""
"4147",""
"4148","Student"
"4149","coordonnateur"
"4150","Painter"
"4151","Professional"
"4152","Management Consultant"
"4153","librarian"
"4154","Paramédic"
"4155","Contract administrator"
"4156",""
"4157",""
"4158","grocery retail"
"4159","Director of sales"
"4160","-99"
"4161",""
"4162","Casino supervisor"
"4163",""
"4164",""
"4165","small business owner"
"4166","Construction"
"4167","retired"
"4168","Accountant"
"4169",""
"4170","Manoeuvre d'usine"
"4171","finance clerk"
"4172","directeur-general desjardins"
"4173","Coordonateur"
"4174","manager"
"4175","Student/Teacher"
"4176",""
"4177","Conseiller en risque de crédit"
"4178",""
"4179","Manager"
"4180","Warehouse worker"
"4181",""
"4182","Service"
"4183","Labourer at General Motors"
"4184",""
"4185","-99"
"4186","Respiratory therapist"
"4187","Retired"
"4188","Owner of a small business"
"4189","rmt"
"4190",""
"4191",""
"4192","Unemployed"
"4193","Secretary"
"4194","Pharmacy"
"4195","admin assistant"
"4196","-99"
"4197","Chef"
"4198","Accountant"
"4199",""
"4200","admin"
"4201","business"
"4202",""
"4203","Accountant"
"4204",""
"4205",""
"4206",""
"4207","Tech. Lab. Medical"
"4208",""
"4209",""
"4210","Government Employee"
"4211","Business Consultant"
"4212",""
"4213","event manager"
"4214","Worker"
"4215","Operating Room Attendant"
"4216","retired"
"4217","Investor/entrepreneur"
"4218","Représentant"
"4219",""
"4220",""
"4221","-99"
"4222","Train Conductor"
"4223","Travailleur à temps complet"
"4224","public servant"
"4225",""
"4226",""
"4227",""
"4228","Data Entry at home part time"
"4229","Banquier service à la clientèle"
"4230","customer consultant"
"4231","travailleur"
"4232","Régisseur a la coordination"
"4233","HR Generalist"
"4234","Office worker"
"4235","Material Co-ordinator"
"4236","Comptabilité"
"4237","inspector"
"4238",""
"4239","IT Director"
"4240","Sans emploi incapable de travailler"
"4241","-99"
"4242",""
"4243",""
"4244",""
"4245","Traducteur"
"4246","Scheduler"
"4247","teacher"
"4248","-99"
"4249","buyer"
"4250","Airline"
"4251","Comptable"
"4252","Enseignant"
"4253","-99"
"4254","Travailleur autonome"
"4255","Outreach worker"
"4256",""
"4257","Data Services Specialist"
"4258","Community Social Service worker"
"4259","Nurse"
"4260","Civil Servant"
"4261","-99"
"4262","fonctionnaire"
"4263",""
"4264",""
"4265",""
"4266","Sales"
"4267","Transport"
"4268",""
"4269",""
"4270",""
"4271","STUDENT"
"4272","banking"
"4273","Tutor"
"4274","Financial/economic consultant"
"4275",""
"4276","Business owner"
"4277","Quote and supply specialist"
"4278","Student"
"4279","Admin. assistant"
"4280",""
"4281","-99"
"4282","QC technician"
"4283","Opérateur de machine cnc"
"4284","Power Engineer"
"4285",""
"4286","-99"
"4287",""
"4288","Procurement Analyst"
"4289","quality control food plant"
"4290","Temps plein"
"4291",""
"4292","administration"
"4293",""
"4294",""
"4295","social worker/finance manager"
"4296","-99"
"4297","Consultant"
"4298","Driver"
"4299","technicien en traitement d'eaux"
"4300","railroader"
"4301","-99"
"4302",""
"4303","Project manager"
"4304",""
"4305",""
"4306",""
"4307","french teacher"
"4308",""
"4309","Civil Servant"
"4310","-99"
"4311","Bank"
"4312","University professor"
"4313",""
"4314","Corrections"
"4315","Marketing Manager"
"4316","researcher"
"4317",""
"4318","Data science"
"4319",""
"4320","-99"
"4321","Homemaker"
"4322","FINANCE"
"4323","-99"
"4324","Educator"
"4325","retired"
"4326","Homemaker"
"4327","Engineer"
"4328","Assistant Corporate Secretary"
"4329","Conseiller pédagogique"
"4330","Manager"
"4331","Human Resourse Manager"
"4332",""
"4333","-99"
"4334","Accountant"
"4335","CRA auditor"
"4336","-99"
"4337",""
"4338",""
"4339","-99"
"4340","Professionel"
"4341","real estate"
"4342","Self employed"
"4343","travailleur autonome"
"4344","-99"
"4345","Political and economic advisor"
"4346","Gestionnaire"
"4347","retired"
"4348",""
"4349","Union representative"
"4350",""
"4351","Regional Sales Manager"
"4352",""
"4353","Park ranger"
"4354",""
"4355","-99"
"4356","Airline pilot"
"4357",""
"4358","Driver"
"4359","Office Adm"
"4360",""
"4361","-99"
"4362","-99"
"4363",""
"4364","-99"
"4365","merchandiser"
"4366","security guard"
"4367","Journalière"
"4368",""
"4369",""
"4370","Student"
"4371","Retail"
"4372","Cariste"
"4373","directeur"
"4374",""
"4375",""
"4376","Administrative assistant"
"4377",""
"4378","retired"
"4379","coach driver"
"4380","Professional"
"4381","Field Engineer"
"4382","Nuclear Specialist Operations"
"4383",""
"4384",""
"4385","Retired DND"
"4386","Scientist"
"4387","TECHNICAL SERVICE ADVISOR"
"4388","-99"
"4389",""
"4390",""
"4391","infirmière"
"4392","Retraité"
"4393",""
"4394","-99"
"4395","Education"
"4396","admin assist"
"4397","-99"
"4398","CSR"
"4399","Personal Support Worker"
"4400",""
"4401",""
"4402","RH"
"4403",""
"4404","Computer Technician"
"4405",""
"4406","Technicien électronique"
