"","pes21_occ_text"
"383",""
"384",""
"385","Retail"
"386","Diplomat and Senior Trade Commissioner"
"387",""
"388",""
"389","office"
"390","admin"
"391","-99"
"392","Customer service at a bank"
"393","-99"
"394",""
"395","help desk IT agent"
"396","Unemployed"
"397","not employed"
"398",""
"399","Quality Control"
"400","Administration"
"401",""
"402","Retired"
"403","Banker"
"404","Admin"
"405","RN"
"406","Long Term Care Aide"
"407","Administration"
"408","-99"
"409","Civil Engineer (PENG)"
"410","clerical"
"411","Investment"
"412","Telecom"
"413","travailleur autonome"
"414",""
"415",""
"416","Gestionnaire"
"417","Educator"
"418","Mechanics"
"419","Not employed right now"
"420",""
"421",""
"422",""
"423","Emergency Dispatch Retired"
"424","retail worker"
"425","Nurse"
"426",""
"427","office administrator"
"428","Investment Advisor"
"429",""
"430","Rentiere"
"431","Accountant"
"432","teacher"
"433","Dental Receptionist"
"434",""
"435","Préposé aux bénéficiaires"
"436","Inhalothérapeute"
"437","Teacher"
"438","Golf course superintendent"
"439",""
"440","engineer"
"441","-99"
"442","Director, Labou Relations"
"443",""
"444","File clerk"
"445","Infirmière clinicienne"
"446","Health care"
"447","NURSE"
"448","Cashier"
"449",""
"450","-99"
"451","University administration"
"452","medical representative"
"453",""
"454",""
"455","teacher"
"456","Registered Nurse"
"457",""
"458","Teacher"
"459","Retired"
"460","Occupational Therapist"
"461","-99"
"462",""
"463","student"
"464","Sales Director"
"465","Teacher"
"466",""
"467",""
"468","-99"
"469","Teacher"
"470","tech support"
"471","professional"
"472","Ergothérapeute"
"473","-99"
"474","Student"
"475","School Lunch Supervisor"
"476",""
"477","admin assistant"
"478","employés"
"479",""
"480","administrative assistant"
"481",""
"482","fonction publique québécoise"
"483","Student full time"
"484","Technicien ambulancier paramédic"
"485","Actuaire"
"486","Student"
"487","research"
"488","Préposé entretien ménager"
"489","Actor"
"490","Human Resources"
"491","-99"
"492",""
"493","Ferblantier"
"494",""
"495",""
"496",""
"497","Self employed"
"498","-99"
"499",""
"500","Mechanical Designer"
"501","Directeur de la  Qualité-Laboratoire"
"502",""
"503",""
"504","Analyst"
"505","Property Management"
"506",""
"507","Styliste coiffure"
"508","Fonctionnaire"
"509","Human Resources"
"510","Customer service"
"511","-99"
"512","-99"
"513","recreation coordinator"
"514","Software Engineer"
"515","Print customer service"
"516","ecrivaine"
"517","-99"
"518","Enseignant"
"519","Human Resources"
"520","retired"
"521","customer service"
"522","Enseignant"
"523",""
"524","Skilled tradesmen"
"525","Teacher"
"526",""
"527","IT"
"528","-99"
"529","manager"
"530","Enseignante"
"531",""
"532","Avocat"
"533","-99"
"534","Taxpayer Agent"
"535",""
"536",""
"537",""
"538","teacher"
"539","-99"
"540",""
"541","Office worker"
"542","-99"
"543","Manager"
"544","-99"
"545",""
"546",""
"547","-99"
"548","Teacher"
"549",""
"550",""
"551","medical microbiology"
"552","labourer"
"553","Custodian"
"554","Accounting"
"555","Enseignant"
"556",""
"557","social justice director"
"558","academic/psychologist"
"559","-99"
"560","Enseignant"
"561",""
"562",""
"563","Student"
"564",""
"565",""
"566",""
"567","Consultant"
"568","Employée"
"569","daycare supervisor"
"570","Payroll administration"
"571","FormerRN, Health&Safety specialist, now retired"
"572","Sales"
"573",""
"574","Commis à la Poste"
"575","Journalière usine pâtes et papiers"
"576","-99"
"577",""
"578","Sales manager"
"579",""
"580","Student"
"581",""
"582","menuisier"
"583","Driver"
"584",""
"585","Office"
"586","Conseiller à la vente"
"587","business executive"
