Code,Occupation_Name,Nom_de_la_profession,Recent_Labour_Market_Conditions
52112,Broadcast technicians,Techniciens/techniciennes en radiotélédiffusion,Balance
52113,Audio and video recording technicians,Techniciens/techniciennes en enregistrement audio et vidéo,Balance
52114,Announcers and other broadcasters,Annonceurs/annonceuses et autres communicateurs/communicatrices,Balance
52119,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène",Moderate signs of Surplus
52120,Graphic designers and illustrators,Designers graphiques et illustrateurs/illustratrices,Moderate signs of Surplus
52121,Interior designers and interior decorators,Designers d'intérieur et décorateurs/décoratrices d'intérieur,Balance
53100,"Registrars, restorers, interpreters and other occupations related to museum and art galleries","Registraires, restaurateurs/restauratrices, interprètes et autres travailleurs/travailleuses dans les domaines apparentés des musées et des galeries d'art",Balance
53110,Photographers,Photographes,Balance
53111,"Motion pictures, broadcasting, photography and performing arts assistants and operators","Assistants/assistantes et opérateurs/opératrices du domaine du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène",Strong signs of Surplus
53120,Dancers,Danseurs/danseuses,Balance
53121,"Actors, comedians and circus performers","Acteurs/actrices, comédiens/comédiennes et artistes de cirque",Balance
53122,"Painters, sculptors and other visual artists","Peintres, sculpteurs/sculpteures et autres artistes des arts visuels",Balance
53123,"Theatre, fashion, exhibit and other creative designers","Ensembliers/ensemblières de théâtre, dessinateurs/dessinatrices de mode, concepteurs/conceptrices d'expositions et autres concepteurs/conceptrices artistiques",Balance
53124,Artisans and craftspersons,Artisans/artisanes,Balance
53125,"Patternmakers - textile, leather and fur products",Patronniers/patronnières de produits textiles et d'articles en cuir et en fourrure,N/A
53200,Athletes,Athlètes,Balance
53201,Coaches,Entraîneurs/entraîneuses,Balance
53202,Sports officials and referees,Arbitres et officiels/officielles de sports,Balance
54100,"Program leaders and instructors in recreation, sport and fitness","Animateurs/animatrices et responsables de programmes de sports, de loisirs et de conditionnement physique",Balance
55109,Other performers,Autres artistes de spectacle,N/A
60010,Corporate sales managers,Directeurs/directrices des ventes corporatives,Balance
60020,Retail and wholesale trade managers,Directeurs/directrices - commerce de détail et de gros,Balance
60030,Restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,Balance
60031,Accommodation service managers,Directeurs/directrices des services d'hébergement,Balance
60040,Managers in customer and personal services,Directeurs/directrices du service à la clientèle et des services personnels,Balance
62010,Retail sales supervisors,Superviseurs/superviseures des ventes - commerce de détail,Balance
62020,Food service supervisors,Superviseurs/superviseures des services alimentaires,Moderate signs of Shortage
62021,Executive housekeepers,Gouvernants principaux/gouvernantes principales,Balance
62022,"Accommodation, travel, tourism and related services supervisors","Superviseurs/superviseures des services d'hébergement, de voyages, de tourisme et des services connexes",Balance
62023,Customer and information services supervisors,Superviseurs/superviseures des services d'information et des services à la clientèle,Balance
62024,Cleaning supervisors,Surveillants/surveillantes des services de nettoyage,Balance
62029,Other services supervisors,Surveillants/surveillantes des autres services,Balance
62100,Technical sales specialists - wholesale trade,Spécialistes des ventes techniques - commerce de gros,Balance
62101,Retail and wholesale buyers,Acheteurs/acheteuses des commerces de détail et de gros,Balance
62200,Chefs,Chefs,Balance
62201,Funeral directors and embalmers,Directeurs/directrices de funérailles et embaumeurs/embaumeuses,Balance
62202,"Jewellers, jewellery and watch repairers and related occupations","Bijoutiers/bijoutières, réparateurs/réparatrices de bijoux, horlogers-rhabilleurs/horlogères-rhabilleuses et personnel assimilé",Balance
63100,Insurance agents and brokers,Agents/agentes et courtiers/courtières d'assurance,Moderate signs of Shortage
63101,Real estate agents and salespersons,Agents/agentes et vendeurs/vendeuses en immobilier,Balance
63102,Financial sales representatives,Représentants/représentantes des ventes financières,Balance
63200,Cooks,Cuisiniers/cuisinières,Moderate signs of Shortage
63201,Butchers - retail and wholesale,Bouchers/bouchères - commerce de gros et de détail,Moderate signs of Shortage
63202,Bakers,Boulangers-pâtissiers/boulangères-pâtissières,Balance
63210,Hairstylists and barbers,Coiffeurs/coiffeuses et barbiers,Balance
63211,"Estheticians, electrologists and related occupations","Esthéticiens/esthéticiennes, électrolystes et personnel assimilé",Balance
63220,Shoe repairers and shoemakers,Cordonniers/cordonnières et fabricants/fabricantes de chaussures,N/A
63221,Upholsterers,Tapissiers-garnisseurs/tapissières-garnisseuses,Balance
64100,Retail salespersons and visual merchandisers,Vendeurs/vendeuses et décorateurs-étalagistes/décoratrices-étalagistes en commerce de détail,Balance
64101,Sales and account representatives - wholesale trade (non-technical),Représentants/représentantes des ventes et des comptes - commerce de gros (non-technique),Balance
64200,"Tailors, dressmakers, furriers and milliners","Tailleurs/tailleuses, couturiers/couturières, fourreurs/fourreuses et modistes",Balance
64201,"Image, social and other personal consultants","Conseillers/conseillères imagistes, conseillers mondains/conseillères mondaines et autres conseillers/conseillères en soins personnalisés",Balance
64300,Maîtres d'hôtel and hosts/hostesses,Maîtres d'hôtel et hôtes/hôtesses,Balance
64301,Bartenders,Barmans/barmaids,Balance
64310,Travel counsellors,Conseillers/conseillères en voyages,Balance
64311,Pursers and flight attendants,Commissaires et agents/agentes de bord,Balance
64312,Airline ticket and service agents,Agents/agentes à la billetterie et aux services aériens,Balance
64313,"Ground and water transport ticket agents, cargo service representatives and related clerks","Agents/agentes à la billetterie, représentants/représentantes du service en matière de fret et personnel assimilé dans le transport routier et maritime",Balance
64314,Hotel front desk clerks,Réceptionnistes d'hôtel,Balance
64320,Tour and travel guides,Guides touristiques et guides itinérants/guides itinérantes,Balance
64321,Casino workers,Travailleurs/travailleuses dans les casinos,Balance
64322,Outdoor sport and recreational guides,Guides d'activités récréatives et sportives de plein air,Moderate signs of Surplus
64400,Customer services representatives - financial institutions,Représentants/représentantes au service à la clientèle - institutions financières,Balance
64401,Postal services representatives,Représentants/représentantes des services postaux,Moderate signs of Shortage
64409,Other customer and information services representatives,Autres préposés/préposées aux services d'information et aux services à la clientèle,Balance
64410,Security guards and related security service occupations,Agents/agentes de sécurité et personnel assimilé des services de sécurité,Balance
65100,Cashiers,Caissiers/caissières,Balance
65101,Service station attendants,Préposés/préposées de stations-service,Balance
65102,"Store shelf stockers, clerks and order fillers","Garnisseurs/garnisseuses de tablettes, commis et préposés/préposées aux commandes dans les magasins",Balance
65109,Other sales related occupations,Autre personnel assimilé des ventes,Balance
65200,Food and beverage servers,Serveurs/serveuses d'aliments et de boissons,Balance
65201,"Food counter attendants, kitchen helpers and related support occupations","Serveurs/serveuses au comptoir, aides de cuisine et personnel de soutien assimilé",Balance
65202,Meat cutters and fishmongers – retail and wholesale,Coupeurs/coupeuses de viande et poissonniers/poissonnières – commerce de gros et de détail,Balance
65210,"Support occupations in accommodation, travel and facilities set-up services","Personnel de soutien en services d'hébergement, de voyage et en services de montage d'installation",Balance
65211,"Operators and attendants in amusement, recreation and sport","Opérateurs/opératrices et préposés/préposées aux sports, aux loisirs et dans les parcs d'attractions",Balance
65220,Pet groomers and animal care workers,Soigneurs/soigneuses d'animaux et travailleurs/travailleuses en soins des animaux,Balance
65229,Other support occupations in personal services,Autres professions de soutien dans les services personnels,Balance
65310,Light duty cleaners,Préposés/préposées à l'entretien ménager et au nettoyage - travaux légers,Balance
65311,Specialized cleaners,Nettoyeurs spécialisés/nettoyeuses spécialisées,Balance
65312,"Janitors, caretakers and heavy-duty cleaners",Concierges et nettoyeurs/nettoyeuses – gros travaux,Balance
