"","x"
"293","medical radiation technologist"
"294","ceo"
"295","teaching"
"296","retired4"
"297","paramedic"
"298","sofware developper"
"299","work in customer service"
"300","in management"
"301","budget coordinator"
"302","tool and die maker"
"303","teaching children programming codes"
"304","physiotherapist"
"305","senior director of finance"
"306","it project coordinator"
"307","custodial services"
"308","manager at a cemetary + night security"
"309","professor"
"310","truckdriver"
"311","semi-retired"
"312","credit card associate"
"313","sales postion"
"314","don't know"
"315","university professor"
"316","vice president of operations for an international company"
"317","medical office assistant"
"318","groundskeeper"
"319","hairdresser"
"320","manger residential support"
"321","branch manager at a financial institution"
"322","lawier"
"323","bylaw officer"
"324","editor"
"325","private contractor"
"326","engineering"
"327","professional"
"328","real estate appraiser"
"329","car tech with railroad"
"330","restoration sales specialist"
"331","maintenance superintendent - sawmill"
"332","small business owners .(body removers)"
"333","gm of a hotel. teacher."
"334","sign language interpreter"
"335","architectural technologist line cook"
"336","metallurgist"
"337","creative director"
"338","economist"
"339","senior project manager"
"340","tradesman construction"
"341","administrative clerk"
"342","resident physician"
"343","consultant in oil & gaz"
"344","risk analyst"
"345","unemployed"
"346","physician"
"347","tile setter"
"348","health, safety and environmental manager"
"349","data analyst"
"350","social work"
"351","oilfield operator"
"352","logging"
"353","utilities"
"354","retail management"
"355","housekeeper"
"356","agriculture"
"357","class 1 driver"
"358","contractor sales"
"359","occupational health and safety"
"360","medical device sales"
"361","licensed practical nurse"
"362","administration assistant"
"363","consultant - unexploded bombs."
"364","school"
"365","psychologist"
"366","music therapist"
"367","manager"
"368","student that works"
"369","manager of a medical clinic"
"370","it system engeneer"
"371","mill operator"
"372","ex- pipeline laborer"
"373","professional services"
"374","business broker"
"375","vice principal"
"376","security manager"
"377","financial manager"
"378","sales (agricultural)"
"379","cattle rancher full time canadian national railways."
"380","retail store manager"
"381","city planner"
"382","sales person"
"383","office managwr"
"384","family physician"
"385","able seaman on a lake freigh8"
"386","computer technician"
"387","home care worker"
"388","program facilitator at a family resource centre"
"389","i work in the governemtn"
"390","sales representatives"
"391","registered nurse and a oyster-fisherman as well"
"392","civil servant with dept of agriculture"
"393","cashier"
"394","custodian"
"395","officemanager/bookkeeper"
"396","policy analyst"
"397","labrador"
"398","special needs on school bus"
"399","sales associate"
"400","financial advisor to business owners"
"401","investigation"
"402","medical secretary"
"403","customer service"
"404","electronics technician"
"405","administrative assistant"
"406","consumer service technician"
"407","retired lawyer"
"408","semi - retired and drive a cab"
"409","carpentry"
"410","financial services officer"
"411","iron worker"
"412","custodial"
"413","veterinarian"
"414","technicienne en pharmacie"
"415","bus driver"
"416","forklift driver"
"417","survey engineer"
"418","construction worker. truck driver, musician"
"419","it admin"
"420","deckhand"
"421","government senior manager"
"422","visual art and communication"
"423","quality assurance manager"
"424","mechanical designer engineering"
"425","customer service rep"
"426","educator"
"427","national account manager in sales"
"428","self-employed and university research assistant"
"429","commercial building owner"
"430","human resources admin"
"431","higher education, post secondary adminstartion"
"432","pharmacist"
"433","disclosure facilitator - government"
"434","host at restaurant"
"435","doctor"
"436","education assistant"
"437","sr. b2b inside sales"
"438","medical doctor"
"439","real estate agent"
"440","welder (entrepreneur)"
"441","legal assistant"
"442","analyst"
"443","government admin"
"444","semi retired"
"445","laborer"
"446","retail sales"
"447","program manager"
"448","homecare provider"
"449","management in retail"
"450","union research representative"
"451","residential support worker"
